id,screen name,sadness score,disgust score,anger score,surprise score,Ntweets
20264925,MDinOK,0.098559130481,0.195138800733,0.122491739407,0.17055618196,1430
28640565,kbc00per,0.117126682903,0.212628638977,0.218858419657,0.179414412261,2408
103668099,ch8tta,0.103884058421,0.216683496256,0.186292092335,0.183776524678,1291
284337819,alyssalg93,0.146210899357,0.345303884347,0.264683860303,0.220495057701,2733
295918561,dontstephoverme,0.149149475148,0.299846138168,0.260532460192,0.151869349453,1858
315485988,llaaiikkyynn,0.105598041493,0.322909025611,0.311172669934,0.233195324886,101
318090914,dorsey_5,0.107095731541,0.450407996606,0.323928638113,0.206550631531,2536
344371349,amourkaoir,0.0850748533181,0.168729765239,0.176545404423,0.0919806496781,1464
372793968,Hayes_502,0.142311712552,0.379339082769,0.263527386342,0.184552157988,2669
437153078,_SamVsTheWorld,0.0981246306164,0.293826877876,0.224211140341,0.239085745127,2094
441695020,ayolilmami,0.0914287984273,0.355162712946,0.280504151132,0.194761796762,989
512626354,thelife_ofkeke,0.15192620128,0.278162667577,0.31224722005,0.134304078016,2960
617631716,madisonathacker,0.117733678447,0.281196860715,0.199127126547,0.234859335043,1368
702040974,elizzabethkayy,0.141916226749,0.324442940363,0.32038615249,0.147814496315,1522
774727386,basicxxcaitlyn,0.124953734854,0.16327696703,0.14155671255,0.156246360717,1296
963571255,YungDreez_513,0.118325773855,0.159382333137,0.102228682701,0.157425937812,2550
1018550059,steveningersol1,0.111074269479,0.200584494496,0.185281682753,0.180527569371,2112
1033491896,Chicatriste_,0.161114984746,0.393069115616,0.361287622578,0.266214868607,1392
1126016748,sammay_b,0.1372359428,0.337063329324,0.337203083146,0.226042834587,2463
1259524428,doragtz1999,0.198627278433,0.297451229532,0.383701916102,0.170576539787,1479
1321331600,bmarsh2016,0.134590033582,0.287416674687,0.201642499553,0.201693493482,370
1393400658,thatgirlkanisha,0.102123459746,0.207049392329,0.238539820145,0.143175718229,1627
1556713338,parrazserenity,0.193392171016,0.393091004562,0.364664305982,0.238505143383,370
1847864377,keatsy2112,0.0836814059405,0.309991263689,0.169122602881,0.189965462526,3208
1858179882,Taylor1Savanna,0.152674253657,0.253714286242,0.266862059919,0.194102985526,523
2523816821,parishighlife,0.0843631852507,0.133679081663,0.165938344975,0.165199993257,2765
2609607548,shadical,0.130662533036,0.272799565779,0.270838986077,0.208584279012,5511
2660012022,IrisNotIrish24,0.160317706262,0.285260136679,0.326849106135,0.183353716711,472
2764051327,gertrxde,0.209832870461,0.411261721757,0.483973577828,0.212790038928,3028
2769189117,daddyrogo,0.135509009054,0.191731876428,0.174456052944,0.0958174291505,1220
2946958695,RebekahhJM,0.118879536648,0.379471577793,0.243249773296,0.227628241691,2183
3031819656,itsjustindiaaa,0.156150825495,0.240636738069,0.26568113185,0.128377353832,1711
3108030047,caitlinnwells,0.113008022648,0.233860498392,0.211551190282,0.150405124547,1130
3335977487,CloudyCanine,0.111747646568,0.25570132804,0.200151927092,0.263102765483,2619
4825540994,bailee_marie_mc,0.0822935604304,0.201290771317,0.176317875843,0.214150612061,177
731443025902084096,kvenissed,0.142647531977,0.0623304386424,0.0522158449839,0.112402440301,1322
744640808138072064,lxrree,0.136952656221,0.144308797433,0.189414993107,0.145752560877,522
776528798141394944,TabithaRenea97,0.102570570125,0.181853160627,0.179194561226,0.145786089261,413
787163388304429056,gayrissa,0.196067400513,0.502230673606,0.327874643213,0.310475688674,951
837042510056677376,lonely_dag,0.0702501406552,0.133683257166,0.113110305306,0.143120501158,424
848787914192543744,WieBoth,0.181323858639,0.195577134456,0.237723241529,0.17326597246,194
880851827004198914,saadteengiirl,0.154704956913,0.528380505329,0.708637254292,0.138630299865,8
882289915693871104,LifeSuckSmith,0.19152402436,0.151830022871,0.232511256642,0.206982265182,67
