"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2019 ED)","8","26.9","7.4 - 33","6","5.427, 418","10.926, 26","634783","? 2035-02 [22.6] ?","none","none","bK19E00D"
"(2016 HF2)","13","26.1","10 - 47","5","6.251, 378","11.997, 162","630946","2021-08 [23.7]","none","none","bK16H02F"
"(2006 FH36)","17","22.9","46 - 205","3","5.997, 362","11.946, 114","630059","2020-03 [17.6]","2021-08 [17]","none","bK06F36H"
"(1999 VX25)","14","26.7","8.0 - 36","7","5.898, 442","11.831, 50","628101","? 2028-09 [23.3] ?","none","none","bJ99V25X"
"(2012 HK31)","15","25.4","14 - 65","7","5.746, 322","11.696, 66","627317","? 2022-03 [22.0] ?","none","none","bK12H31K"
"(2006 DQ14)","8","27.1","6.6 - 30","6","4.560, 370","11.999, 66","626908","? 2030-08 [22.6] ?","none","none","bK06D14Q"
"(2019 GK3)","4","29.5","2.2 - 10","6","4.809, 338","11.867, 34","622239","none","none","none","bK19G03K"
"(2018 YU2)","4","26.4","9.1 - 41","6","5.404, 354","11.804, 90","619419","2028-01 [23.6]","none","none","bK18Y02U"
"(2016 BS67)","13","26.2","10 - 45","5","5.473, 370","11.946, 82","605543","? 2028-02 [21.3] ?","none","none","bK16B67S"
"(2013 WA44)","18","23.7","32 - 142","3","5.442, 442","11.872, 74","603331","2020-12 [19.9]","none","none","bK13W44A"
"(2011 CL50)","8","27.6","5.3 - 23","7","5.721, 426","11.617, 34","598903","? 2020-12 [18.5] ?","none","none","bK11C50L"
"(2012 BB14)","10","25.0","17 - 78","4","5.063, 362","11.900, 154","590985","2022-12 [21.7]","none","none","bK12B14B"
"(2013 EC20)","13","29.0","2.8 - 12","4","5.949, 306","11.896, 82","590723","none","none","none","bK13E20C"
"(2017 HK1)","25","25.1","17 - 74","5","6.101, 418","11.887, 58","589241","2030-02 [21.4]","2030-05 [100]","none","bK17H01K"
"(2018 VN5)","19","25.4","14 - 65","3","5.902, 394","11.758, 74","584888","2025-12 [22.8]","none","none","bK18V05N"
"(2019 AC3)","11","27.3","6.0 - 27","5","4.594, 362","11.910, 66","579619","2020-06 [22.1]","none","none","bK19A03C"
"(2018 DC4)","1","27.3","6.0 - 27","6","5.379, 338","11.424, 50","574379","none","none","none","bK18D04C"
