"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2017 RZ15)","1","27.1","6.6 - 30","6","7.748, 402","11.992, 250","165255","? 2032-09 [23.8] ?","none","none","bK17R15Z"
"(2009 UZ87)","9","25.9","11 - 51","6","7.938, 426","11.828, 146","165050","? 2025-11 [22.4] ?","none","none","bK09U87Z"
"(2014 AE29)","5","27.4","5.8 - 26","6","7.388, 362","11.979, 106","164818","? 2032-11 [22.5] ?","none","none","bK14A29E"
"(2014 GA)","8","26.4","9.1 - 41","6","5.907, 370","11.817, 122","164169","? 2037-03 [23.0] ?","none","none","bK14G00A"
"(2018 CQ3)","10","25.2","16 - 71","4","6.691, 370","11.712, 66","163593","2022-08 [23.0]","none","none","bK18C03Q"
"(2009 WC106)","6","25.5","14 - 62","8","6.144, 362","11.917, 170","160595","? 2028-04 [20.5] ?","none","none","bK09WA6C"
"(2011 GJ3)","11","26.2","10 - 45","7","6.534, 346","11.855, 210","159746","2039-09 [20.2]","2039-09 [310]","2039-09 [7200]","bK11G03J"
"(2016 XR23)","17","25.4","14 - 65","4","6.299, 370","11.868, 138","159529","2026-05 [21.6]","none","none","bK16X23R"
"(2014 HY198)","3","29.7","2.0 - 8.9","8","7.223, 330","11.960, 170","158695","none","none","none","bK14HJ8Y"
"(2015 MB54)","11","23.9","29 - 129","0","9.245, 418","11.971, 74","157924","2020-12 [19.9]","2021-03 [48]","2021-04 [10]","bK15M54B"
"(2015 HS11)","20","27.1","6.6 - 30","5","6.683, 362","11.874, 58","157794","none","none","none","bK15H11S"
"(2012 HG2)","31","27.0","6.9 - 31","5","7.549, 354","11.835, 170","157337","none","none","none","bK12H02G"
"(2010 WC1)","8","27.7","5.0 - 22","8","7.039, 370","11.691, 210","156840","none","none","none","bK10W01C"
"(2007 PS9)","20","23.5","35 - 155","0","6.101, 362","11.916, 122","156680","2027-01 [22.5]","none","none","bK07P09S"
"(2016 WG7)","11","26.0","11 - 49","3","6.913, 370","11.882, 194","156354","2028-07 [23.7]","none","none","bK16W07G"
"(2012 DS30)","6","26.0","11 - 49","7","6.788, 362","11.820, 106","155835","? 2020-02 [19.4] ?","none","none","bK12D30S"
"(2019 AM12)","2","25.5","14 - 63","6","6.760, 370","11.660, 122","155423","? 2026-01 [23.4] ?","none","none","bK19A12M"
"(2018 YO2)","3","29.7","2.0 - 8.9","6","5.668, 330","11.198, 42","155044","none","none","none","bK18Y02O"
"(2006 SY5)","13","22.1","66 - 296","3","7.948, 362","11.969, 130","153854","2020-09 [23.7]","2023-02 [17]","none","bK06S05Y"
"(2016 FC)","20","26.6","8.3 - 37","5","6.627, 330","11.928, 138","153744","? 2038-10 [22.1] ?","none","none","bK16F00C"
"(2010 FY9)","7","26.7","8.0 - 36","7","6.433, 354","11.689, 74","153728","? 2021-02 [21.2] ?","none","none","bK10F09Y"
"(2018 PV24)","1","29.6","2.1 - 9.4","8","6.258, 354","11.843, 194","152643","none","none","none","bK18P24V"
"(2017 UZ5)","1","26.6","8.3 - 37","7","6.643, 354","11.916, 106","152463","? 2024-08 [23.9] ?","none","none","bK17U05Z"
"(2019 JY2)","3","29.6","2.1 - 9.4","5","6.999, 378","11.994, 234","151821","none","none","none","bK19J02Y"
"(2015 YU1)","19","24.8","19 - 85","3","6.705, 362","11.951, 106","151379","2022-09 [23.5]","none","none","bK15Y01U"
"(2008 DB)","15","25.7","13 - 56","6","7.349, 362","11.959, 274","150840","? 2021-02 [20.8] ?","none","none","bK08D00B"
"(2011 CG2)","69","21.4","91 - 408","0","7.714, 418","11.850, 66","150254","2019-10 [20.0]","2034-02 [100]","2034-04 [22]","bK11C02G"
"(2013 WR45)","7","25.7","13 - 56","7","8.816, 442","11.856, 210","150012","none","none","none","bK13W45R"
"(2016 CG18)","9","28.5","3.5 - 16","4","4.633, 370","11.629, 50","149918","none","none","none","bK16C18G"
"(2016 VS1)","9","25.8","12 - 54","6","7.549, 354","11.993, 210","149481","? 2025-11 [20.9] ?","none","none","bK16V01S"
"(2018 DC)","7","24.7","20 - 89","7","7.790, 450","11.985, 234","149434","2019-11 [23.0]","none","none","bK18D00C"
"(2012 UK171)","29","24.4","23 - 103","0","7.465, 314","11.753, 114","148825","2020-10 [18.4]","2020-12 [190]","none","bK12UH1K"
"(2008 TX3)","22","24.9","18 - 81","6","7.054, 314","11.979, 90","148284","? 2022-07 [23.8] ?","none","none","bK08T03X"
"(2011 MQ3)","14","24.8","19 - 85","6","6.703, 362","11.957, 146","147793","? 2029-12 [22.2] ?","none","none","bK11M03Q"
"(2018 LR3)","10","26.3","10 - 43","7","6.725, 442","11.980, 58","147026","none","none","none","bK18L03R"
"(2013 NJ4)","6","27.4","5.8 - 26","6","6.432, 346","11.939, 130","146542","? 2025-11 [22.3] ?","none","none","bK13N04J"
"(2010 WR7)","14","23.5","35 - 155","4","7.576, 386","11.910, 218","145159","2025-10 [23.6]","2025-12 [160]","none","bK10W07R"
"(2018 LM2)","8","24.4","23 - 103","7","8.111, 386","11.957, 202","144508","? 2028-09 [21.8] ?","none","none","bK18L02M"
"(2006 QV89)","20","25.3","15 - 68","6","6.674, 314","11.935, 122","144451","? 2032-07 [23.8] ?","none","none","bK06Q89V"
"(2018 DT)","13","27.1","6.6 - 30","5","6.674, 394","11.896, 34","143754","none","none","none","bK18D00T"
"(2006 XW)","11","23.6","33 - 148","7","6.689, 370","11.629, 130","142231","? 2021-03 [21.0] ?","none","none","bK06X00W"
"(2014 YF)","13","22.7","50 - 224","4","7.326, 362","11.908, 138","141976","2021-10 [19.9]","2036-03 [15]","none","bK14Y00F"
"(2016 GD134)","25","23.5","35 - 155","3","6.777, 362","11.961, 138","141395","2022-07 [21.2]","none","none","bK16GD4D"
"(2007 SQ6)","20","21.9","73 - 324","3","6.489, 362","11.983, 146","141216","2021-08 [23.8]","2023-10 [230]","2025-04 [95]","bK07S06Q"
"(2014 GQ17)","15","27.1","6.6 - 30","6","7.728, 426","11.858, 122","140293","2029-04 [23.7]","none","none","bK14G17Q"
"(2016 LK10)","8","24.7","20 - 89","5","7.678, 370","11.742, 138","139596","2022-09 [23.0]","none","none","bK16L10K"
"(2018 RC)","20","24.9","18 - 81","2","6.464, 330","11.546, 58","139270","2023-08 [23.9]","none","none","bK18R00C"
"(2016 JA)","16","27.6","5.3 - 23","6","6.800, 450","11.970, 298","138933","none","none","none","bK16J00A"
"(2016 WF7)","6","28.8","3.0 - 14","7","7.787, 330","11.650, 170","138709","none","none","none","bK16W07F"
"(2019 AM10)","9","25.2","16 - 72","6","7.306, 362","11.967, 74","138563","? 2024-01 [22.4] ?","none","none","bK19A10M"
"(2003 CA4)","23","23.6","33 - 148","0","7.297, 362","11.787, 106","138438","2025-12 [23.0]","none","none","bK03C04A"
"(2012 BD14)","15","26.5","8.7 - 39","5","7.704, 450","11.937, 234","138312","none","none","none","bK12B14D"
"(2019 NT1)","2","26.9","7.1 - 32","7","7.289, 362","11.597, 82","137972","2019-07 [21.9]","none","none","bK19N01T"
"350523 (2000 EA14)","55","21.1","105 - 469","0","8.056, 394","11.993, 146","137139","2019-07 [21.4]","2025-09 [390]","2038-09 [37]","a0350523"
"(2019 AH13)","7","26.1","10 - 46","6","6.921, 394","11.754, 74","136528","none","none","none","bK19A13H"
"(2015 VE105)","14","24.7","20 - 89","4","6.447, 370","11.910, 218","136364","2030-02 [21.6]","2032-11 [22]","none","bK15VA5E"
"(2008 UD95)","6","25.6","13 - 59","8","6.551, 354","11.893, 90","136161","? 2019-10 [20.4] ?","none","none","bK08U95D"
"(2017 ED3)","16","24.2","25 - 112","4","7.684, 346","11.992, 138","135457","2024-01 [22.3]","2039-04 [31]","none","bK17E03D"
"225312 (1996 XB27)","76","21.7","80 - 356","0","8.086, 442","11.910, 210","135064","2022-08 [23.7]","none","none","a0225312"
"(2008 LD)","10","28.9","2.9 - 13","6","6.863, 186","12.000, 66","135004","? 2024-05 [23.6] ?","none","none","bK08L00D"
"(2018 MD7)","13","22.6","53 - 235","2","6.327, 362","11.763, 154","134598","2019-07 [23.9]","none","none","bK18M07D"
"(2012 FN)","4","29.2","2.5 - 11","9","7.110, 394","11.815, 50","134083","none","none","none","bK12F00N"
"(2018 MH7)","4","26.1","10 - 47","7","7.570, 194","11.890, 82","133001","? 2034-06 [21.7] ?","none","none","bK18M07H"
"(2011 PN1)","7","27.4","5.8 - 26","8","8.098, 410","11.919, 74","131964","none","none","none","bK11P01N"
"(2018 WS)","4","26.5","8.7 - 39","7","6.633, 194","10.766, 34","131822","none","none","none","bK18W00S"
"(2005 QP87)","16","27.7","5.0 - 22","5","7.075, 418","11.904, 66","131772","? 2031-09 [21.8] ?","none","none","bK05Q87P"
"(2005 TH50)","9","28.0","4.4 - 20","8","7.246, 274","11.954, 66","131339","none","none","none","bK05T50H"
"(2016 JY5)","8","27.1","6.6 - 30","6","6.497, 362","11.887, 178","130898","? 2023-10 [23.8] ?","none","none","bK16J05Y"
"(2016 FS13)","6","26.0","11 - 49","2","8.919, 394","11.880, 154","130666","2038-02 [22.5]","none","none","bK16F13S"
"(2015 UG51)","10","25.8","12 - 54","6","7.541, 370","11.763, 274","130140","2038-02 [22.6]","none","none","bK15U51G"
"(2016 WD7)","9","27.3","6.0 - 27","5","6.838, 402","11.043, 34","130029","none","none","none","bK16W07D"
"(2019 AS11)","2","26.8","7.7 - 35","6","6.349, 370","11.627, 66","129871","none","none","none","bK19A11S"
"(2003 RU11)","19","25.5","14 - 62","3","6.265, 346","11.809, 66","129497","2034-07 [19.4]","2034-09 [2.2e4]","2034-09 [550]","bK03R11U"
"(2018 XG2)","2","25.1","17 - 74","6","6.184, 362","11.916, 106","129240","none","none","none","bK18X02G"
"(2012 YD7)","11","24.3","24 - 107","6","8.176, 306","11.732, 146","128894","2026-12 [22.5]","none","none","bK12Y07D"
"(2016 CE31)","9","27.6","5.3 - 23","6","7.348, 378","11.895, 274","128486","none","none","none","bK16C31E"
"(2015 TZ24)","12","24.1","26 - 118","6","8.124, 370","11.901, 138","128366","2019-12 [23.3]","none","none","bK15T24Z"
"(2011 HP24)","9","25.8","12 - 54","6","7.284, 418","11.987, 90","128269","? 2024-08 [23.5] ?","none","none","bK11H24P"
"(2019 AJ13)","1","28.3","3.9 - 17","7","6.295, 354","11.960, 218","128089","none","none","none","bK19A13J"
"(2011 HN5)","8","25.1","17 - 74","7","8.547, 378","11.991, 218","128074","? 2026-05 [22.3] ?","none","none","bK11H05N"
"(2016 AW65)","8","24.1","26 - 118","6","6.599, 370","11.643, 130","128050","2024-03 [23.2]","none","none","bK16A65W"
"(2015 NA14)","40","22.0","69 - 310","1","7.909, 418","11.764, 170","127999","2030-04 [23.7]","2034-07 [140]","none","bK15N14A"
"(2014 HB177)","9","28.1","4.2 - 19","6","6.752, 354","11.867, 194","127836","? 2034-04 [14.5] ?","none","none","bK14HH7B"
"(2001 QC34)","92","20.1","166 - 743","0","7.734, 370","11.970, 122","127384","2019-07 [18.7]","2025-12 [15]","none","bK01Q34C"
"(2011 HO24)","10","25.0","17 - 78","7","8.111, 394","11.968, 162","127225","? 2020-05 [21.4] ?","none","none","bK11H24O"
"(2014 MP)","9","26.0","11 - 49","6","5.740, 370","11.774, 82","127223","? 2028-06 [19.0] ?","none","none","bK14M00P"
"(2017 DS37)","2","27.3","6.0 - 27","5","6.881, 362","11.881, 146","126929","? 2027-02 [21.7] ?","none","none","bK17D37S"
"(2014 JJ55)","7","25.3","15 - 68","6","6.380, 362","11.907, 178","126369","? 2038-11 [22.1] ?","none","none","bK14J55J"
"(2001 VE2)","12","25.0","17 - 78","7","6.074, 354","11.938, 210","125747","? 2023-07 [23.8] ?","none","none","bK01V02E"
"(2019 CC2)","2","26.4","9.1 - 40","8","6.978, 346","11.778, 98","124952","none","none","none","bK19C02C"
"(2012 VU76)","11","25.7","13 - 56","2","5.741, 378","11.914, 146","124047","none","none","none","bK12V76U"
"(2019 AU6)","4","26.6","8.5 - 38","6","7.590, 450","11.992, 314","123930","none","none","none","bK19A06U"
"(2017 QO)","1","25.7","13 - 56","7","6.424, 362","11.924, 170","123500","? 2029-02 [20.5] ?","none","none","bK17Q00O"
"(2008 YN2)","11","26.3","10 - 43","7","8.081, 386","11.770, 218","122901","? 2024-05 [21.3] ?","none","none","bK08Y02N"
"(2012 VZ19)","6","25.6","13 - 59","8","7.409, 450","11.862, 258","122286","none","none","none","bK12V19Z"
"(2019 LO)","1","27.7","4.9 - 22","7","7.468, 386","11.911, 282","122236","? 2038-05 [22.1] ?","none","none","bK19L00O"
"(2019 GK20)","8","24.8","19 - 85","4","7.602, 378","11.948, 170","122214","2035-01 [22.6]","none","none","bK19G20K"
"(2014 ST223)","12","27.6","5.3 - 23","6","7.725, 386","11.988, 234","121554","none","none","none","bK14SM3T"
"(2013 US1)","7","25.6","13 - 59","7","8.007, 338","11.916, 194","121502","? 2029-11 [21.5] ?","none","none","bK13U01S"
"(2018 TR)","19","25.5","14 - 62","5","7.047, 378","11.994, 250","121371","2029-03 [23.6]","none","none","bK18T00R"
"(2009 BW2)","16","25.1","17 - 74","2","5.235, 450","11.983, 298","121240","2040-12 [23.6]","none","none","bK09B02W"
"(2019 CB5)","1","28.3","3.9 - 17","8","7.138, 394","11.961, 42","121017","none","none","none","bK19C05B"
"(2014 UY)","28","25.4","14 - 65","4","7.030, 346","11.801, 66","119998","2028-09 [19.8]","2028-11 [16]","none","bK14U00Y"
"(2017 SN10)","8","25.7","13 - 56","6","6.569, 330","11.926, 122","119783","none","none","none","bK17S10N"
"(2008 VC)","6","26.9","7.3 - 32","7","6.158, 362","11.944, 90","119328","? 2027-10 [17.8] ?","none","none","bK08V00C"
"350462 (1998 KG3)","59","22.1","66 - 296","0","8.162, 378","11.904, 138","118959","2022-07 [18.7]","none","none","a0350462"
"141424 (2002 CD)","71","20.5","138 - 618","1","8.597, 418","11.826, 162","117777","2029-02 [22.6]","2033-12 [71]","none","a0141424"
"(2007 EC)","44","22.2","63 - 282","0","7.575, 354","11.840, 202","116889","2022-12 [22.5]","2032-01 [1100]","2032-01 [130]","bK07E00C"
"(2019 MT)","14","24.8","19 - 86","4","6.520, 354","11.613, 66","116600","2019-07 [19.8]","none","none","bK19M00T"
"(2015 YM1)","8","28.4","3.6 - 16","6","7.415, 362","11.975, 218","116395","none","none","none","bK15Y01M"
"(2012 DK4)","10","23.6","33 - 148","7","7.742, 330","11.909, 130","115763","2023-03 [23.8]","none","none","bK12D04K"
"(2018 RC1)","16","26.2","10 - 45","7","7.878, 386","11.939, 66","115439","? 2035-06 [21.8] ?","none","none","bK18R01C"
"(2018 KC2)","7","22.8","48 - 214","4","8.738, 370","11.947, 138","115040","2022-07 [20.0]","2038-01 [18]","none","bK18K02C"
"(2016 NM15)","4","27.5","5.5 - 25","6","6.873, 378","11.508, 42","114461","none","none","none","bK16N15M"
"(2018 AW11)","7","25.9","11 - 51","6","6.625, 370","11.880, 162","114297","? 2029-01 [18.2] ?","none","none","bK18A11W"
"(2015 LV24)","19","23.5","35 - 155","2","6.311, 362","11.761, 130","113974","2031-06 [22.4]","none","none","bK15L24V"
"(2002 CW11)","11","26.1","10 - 47","7","8.347, 298","11.826, 130","113908","? 2031-03 [23.0] ?","none","none","bK02C11W"
"(2018 QE)","4","27.8","4.8 - 21","7","7.309, 410","11.775, 50","113611","? 2021-09 [23.7] ?","none","none","bK18Q00E"
"(2018 JK2)","6","25.8","12 - 54","6","7.004, 362","11.845, 114","113588","? 2030-04 [23.2] ?","none","none","bK18J02K"
"(2012 DW60)","18","26.5","8.7 - 39","3","6.696, 354","11.984, 130","113217","2019-09 [23.4]","none","none","bK12D60W"
"(2015 XA379)","46","25.3","15 - 68","4","7.629, 386","11.634, 42","113199","2035-02 [21.3]","2035-01 [25]","none","bK15Xb9A"
"(2018 WH1)","10","28.6","3.3 - 15","5","7.049, 186","11.742, 42","113017","none","none","none","bK18W01H"
"(2012 GA5)","14","24.2","25 - 112","0","7.336, 378","11.677, 122","112877","2023-02 [21.3]","none","none","bK12G05A"
"(2016 YE)","7","25.9","11 - 51","6","7.114, 370","11.966, 98","112779","? 2022-10 [21.4] ?","none","none","bK16Y00E"
"(2016 TL10)","2","27.3","6.0 - 27","6","7.797, 362","11.914, 138","111618","? 2023-10 [24.0] ?","none","none","bK16T10L"
"(2016 GC134)","7","26.2","10 - 45","7","6.934, 362","11.815, 90","111548","none","none","none","bK16GD4C"
"(2015 TJ1)","59","22.6","53 - 235","3","7.614, 418","11.817, 74","111150","2019-07 [22.0]","2031-01 [37]","2031-02 [18]","bK15T01J"
"(2006 DX)","14","23.9","29 - 129","0","7.191, 362","11.794, 114","110956","2022-04 [23.1]","none","none","bK06D00X"
"(2018 SB3)","7","25.6","13 - 59","7","6.780, 354","11.894, 186","109815","? 2029-02 [23.9] ?","none","none","bK18S03B"
"(2017 FS91)","9","26.3","10 - 43","5","7.842, 346","11.983, 250","108892","2030-06 [23.7]","none","none","bK17F91S"
"(2013 CW87)","4","25.6","13 - 59","8","8.703, 370","11.824, 178","108837","? 2021-01 [20.6] ?","none","none","bK13C87W"
"(2007 TH3)","14","24.7","20 - 89","4","7.191, 370","11.924, 162","108732","2027-09 [20.9]","none","none","bK07T03H"
"(2015 FN33)","8","25.8","12 - 54","8","6.743, 346","11.914, 154","108335","none","none","none","bK15F33N"
"(2019 AD)","4","27.6","5.3 - 23","6","6.289, 362","11.958, 98","107550","? 2039-01 [23.6] ?","none","none","bK19A00D"
"(2007 WU3)","12","23.8","30 - 135","2","7.121, 450","11.999, 274","107306","none","none","none","bK07W03U"
"(2017 UL6)","1","32.0","0.69 - 3.1","7","6.971, 362","11.968, 258","106768","none","none","none","bK17U06L"
"(2018 DV1)","2","28.4","3.6 - 16","5","6.521, 362","11.912, 98","106386","none","none","none","bK18D01V"
"(2011 CH22)","10","28.7","3.2 - 14","9","7.596, 314","11.974, 154","106338","none","none","none","bK11C22H"
"(2005 UE1)","8","26.2","10 - 45","6","7.751, 362","11.876, 122","106003","2032-08 [23.2]","none","none","bK05U01E"
"(2017 MT8)","22","23.2","40 - 178","2","7.466, 362","11.960, 130","105753","2019-07 [23.3]","none","none","bK17M08T"
"(2017 TF1)","9","26.7","8.0 - 36","5","7.466, 394","11.862, 42","105153","none","none","none","bK17T01F"
"(2007 EE26)","7","26.1","10 - 47","8","7.042, 314","11.862, 82","104772","? 2038-10 [20.4] ?","none","none","bK07E26E"
"(2018 LC)","11","25.5","14 - 62","6","7.140, 362","11.930, 130","104279","? 2031-04 [21.2] ?","none","none","bK18L00C"
"(2012 KT12)","9","26.3","10 - 43","0","7.182, 426","11.999, 50","104235","2019-08 [23.8]","none","none","bK12K12T"
"(2019 CJ1)","2","25.0","17 - 77","7","7.172, 370","11.812, 146","103764","? 2028-12 [21.2] ?","none","none","bK19C01J"
"(2011 DV)","30","20.6","132 - 590","3","6.458, 370","11.962, 90","103710","2023-03 [21.6]","2025-04 [47]","2040-04 [7800]","bK11D00V"
"(2012 UY68)","10","25.0","17 - 78","7","8.434, 386","11.891, 146","103120","2040-08 [23.6]","none","none","bK12U68Y"
"(2017 GO4)","8","25.0","17 - 78","3","7.808, 370","11.985, 194","103087","2031-12 [23.0]","2033-04 [150]","none","bK17G04O"
"(2010 AN61)","11","27.0","6.9 - 31","6","7.206, 418","11.712, 98","102202","none","none","none","bK10A61N"
"(2017 MA5)","5","25.7","13 - 56","7","8.170, 386","11.996, 234","102075","? 2034-03 [23.8] ?","none","none","bK17M05A"
"(2019 BU3)","4","29.1","2.7 - 12","7","7.417, 186","11.660, 58","101694","none","none","none","bK19B03U"
"(2013 HO)","10","25.9","11 - 51","6","5.552, 362","11.877, 162","101631","none","none","none","bK13H00O"
"(2018 DB1)","3","26.0","11 - 49","6","7.229, 362","11.946, 114","101458","? 2028-08 [22.5] ?","none","none","bK18D01B"
"(2019 DL1)","8","26.6","8.4 - 38","6","8.119, 378","11.836, 74","100519","? 2028-02 [19.2] ?","none","none","bK19D01L"
"(2014 UX7)","10","25.6","13 - 59","6","7.294, 378","11.876, 202","100277","? 2021-12 [23.8] ?","none","none","bK14U07X"
"65679 (1989 UQ)","125","19.5","219 - 979","0","8.718, 434","11.910, 194","99746","2023-08 [20.4]","2024-10 [320]","none","a0065679"
"(2010 TE)","10","26.0","11 - 49","7","7.613, 354","11.872, 170","99590","? 2023-09 [18.8] ?","none","none","bK10T00E"
"(2015 ON22)","5","26.7","8.0 - 36","8","7.555, 394","11.766, 50","97824","none","none","none","bK15O22N"
"(2010 SZ3)","8","27.4","5.8 - 26","7","8.000, 450","11.963, 178","97553","none","none","none","bK10S03Z"
"(2015 VC1)","8","27.2","6.3 - 28","7","6.614, 370","11.448, 58","97326","none","none","none","bK15V01C"
"(2012 DJ54)","9","28.6","3.3 - 15","6","7.391, 322","11.848, 170","96697","none","none","none","bK12D54J"
"(2012 VK5)","6","24.8","19 - 85","7","8.208, 426","11.949, 274","96259","? 2021-08 [22.3] ?","none","none","bK12V05K"
"(2011 OB57)","5","26.0","11 - 49","5","8.249, 386","11.879, 226","95750","2024-07 [23.5]","none","none","bK11O57B"
"(2005 ER95)","10","25.4","14 - 65","7","7.330, 394","11.854, 58","95335","? 2028-01 [19.9] ?","none","none","bK05E95R"
"(2005 TF45)","9","23.1","42 - 187","6","7.731, 378","11.880, 146","94939","? 2021-01 [21.9] ?","none","none","bK05T45F"
"(2017 BG92)","6","28.6","3.3 - 15","6","6.811, 322","11.929, 74","94099","? 2024-02 [23.2] ?","none","none","bK17B92G"
"(2016 NV22)","4","24.9","18 - 81","7","7.391, 322","11.926, 138","93958","? 2020-06 [19.9] ?","none","none","bK16N22V"
"(2017 US)","10","26.0","11 - 49","6","7.926, 394","11.988, 58","93840","2020-09 [22.8]","none","none","bK17U00S"
"(2018 VL)","6","27.5","5.5 - 25","6","7.684, 378","11.935, 274","93509","? 2035-03 [23.6] ?","none","none","bK18V00L"
"(2018 BP3)","4","28.7","3.2 - 14","6","7.193, 354","11.769, 210","92770","none","none","none","bK18B03P"
"(2005 KA)","15","24.7","20 - 89","0","7.524, 394","11.602, 58","92675","2032-03 [18.2]","2032-05 [6700]","2032-05 [180]","bK05K00A"
"(2011 JM5)","9","26.3","10 - 43","6","8.557, 314","11.918, 178","92141","2020-04 [23.7]","none","none","bK11J05M"
"(2017 BB7)","5","27.9","4.6 - 20","4","7.724, 370","11.959, 218","92119","none","none","none","bK17B07B"
"(2013 AT27)","9","25.9","11 - 51","6","6.674, 370","11.761, 234","92058","? 2030-05 [22.1] ?","none","none","bK13A27T"
"(2019 KD)","11","23.5","35 - 158","6","8.387, 218","11.931, 106","91578","2019-07 [22.6]","none","none","bK19K00D"
"(2015 VL64)","5","28.3","3.8 - 17","5","8.937, 370","11.989, 274","91474","? 2028-11 [19.5] ?","none","none","bK15V64L"
"(2011 ET74)","9","26.2","10 - 45","7","7.563, 370","11.788, 162","91455","none","none","none","bK11E74T"
"(2016 NL39)","21","27.6","5.3 - 23","6","7.260, 338","11.181, 42","91406","? 2030-06 [16.5] ?","none","none","bK16N39L"
"(2008 LG2)","22","25.2","16 - 71","2","7.592, 330","11.933, 114","91180","2023-05 [20.9]","2023-06 [200]","2023-06 [12]","bK08L02G"
"(2007 RF1)","8","26.1","10 - 47","7","8.360, 418","11.874, 106","91112","? 2020-08 [21.4] ?","none","none","bK07R01F"
"(2017 FT64)","3","24.4","23 - 103","7","8.500, 378","11.773, 122","90936","? 2021-06 [23.6] ?","none","none","bK17F64T"
"(2017 HU2)","7","25.9","11 - 51","6","7.169, 378","11.905, 42","90930","2034-04 [22.7]","none","none","bK17H02U"
"(2016 EJ156)","12","25.8","12 - 54","6","6.949, 354","11.682, 98","90448","? 2033-04 [24.0] ?","none","none","bK16EF6J"
"(2015 AD44)","11","23.6","33 - 148","4","7.512, 370","11.876, 170","90236","2020-11 [21.6]","none","none","bK15A44D"
"(2017 SO21)","5","25.3","15 - 68","6","7.229, 362","11.893, 130","90178","? 2028-09 [21.6] ?","none","none","bK17S21O"
"(2019 GL1)","9","25.8","12 - 54","5","8.418, 410","11.905, 122","90039","2026-08 [23.8]","none","none","bK19G01L"
"(2017 YC2)","12","23.5","35 - 155","1","7.598, 370","11.912, 154","89659","2037-04 [23.0]","none","none","bK17Y02C"
"(2004 EU22)","28","23.7","32 - 142","0","7.732, 362","11.951, 146","89343","2022-07 [22.6]","none","none","bK04E22U"
"(2017 BO6)","7","26.1","10 - 47","5","8.658, 370","11.817, 290","89343","2025-12 [23.5]","none","none","bK17B06O"
"(2016 SA2)","13","28.2","4.0 - 18","5","6.082, 354","11.794, 90","89187","none","none","none","bK16S02A"
"(2016 RB1)","20","28.3","3.8 - 17","4","8.626, 322","11.966, 178","89113","2038-08 [23.0]","none","none","bK16R01B"
"(2018 AG3)","1","26.0","11 - 49","8","7.028, 370","11.967, 170","88617","? 2024-12 [23.1] ?","none","none","bK18A03G"
"(2017 GX6)","2","27.2","6.3 - 28","5","6.651, 362","11.980, 82","88216","none","none","none","bK17G06X"
"(2018 LQ5)","3","24.9","18 - 81","7","8.166, 378","11.923, 90","88179","? 2021-12 [23.8] ?","none","none","bK18L05Q"
"(2014 KO62)","12","26.2","10 - 45","6","7.071, 362","11.964, 146","88046","none","none","none","bK14K62O"
"(1998 KY26)","27","25.5","14 - 62","3","7.670, 450","11.937, 122","87773","2024-04 [20.0]","2024-06 [68]","none","bJ98K26Y"
"(2018 LJ1)","7","26.5","8.7 - 39","5","8.102, 394","11.902, 58","87272","? 2031-04 [23.2] ?","none","none","bK18L01J"
"(2017 CR1)","2","27.8","4.8 - 21","7","6.682, 362","11.916, 90","86706","none","none","none","bK17C01R"
"(2013 VM13)","9","23.9","29 - 129","1","8.824, 394","11.997, 290","86659","2021-12 [21.4]","none","none","bK13V13M"
"(2012 XK134)","9","26.4","9.1 - 41","6","7.737, 338","11.867, 202","86170","? 2029-07 [23.3] ?","none","none","bK12XD4K"
"(2010 RM80)","12","27.9","4.6 - 20","7","7.735, 362","11.999, 130","86112","none","none","none","bK10R80M"
"(2010 DJ)","7","26.5","8.7 - 39","8","8.224, 450","11.971, 210","86023","none","none","none","bK10D00J"
"(2019 ES2)","1","25.8","12 - 53","8","7.714, 330","11.926, 146","85184","? 2026-02 [21.6] ?","none","none","bK19E02S"
"(2016 CO29)","10","25.0","17 - 78","6","8.493, 386","11.794, 266","84865","2028-02 [23.5]","none","none","bK16C29O"
"(2015 KS120)","5","25.4","14 - 65","5","8.114, 378","11.732, 146","84644","none","none","none","bK15KC0S"
"(2003 EZ16)","25","22.6","53 - 235","0","7.623, 370","11.801, 106","84590","2021-04 [21.6]","2030-09 [22]","none","bK03E16Z"
"(2010 UP)","22","24.7","20 - 89","2","7.102, 362","11.907, 146","84552","2021-08 [23.1]","2021-10 [28]","none","bK10U00P"
"(2018 FO3)","8","25.7","13 - 56","3","7.417, 370","11.635, 138","84407","2027-02 [22.1]","none","none","bK18F03O"
"(2015 LJ)","31","24.7","20 - 89","4","8.404, 394","11.853, 66","84117","2026-10 [23.2]","none","none","bK15L00J"
"(2007 UW1)","10","22.7","50 - 224","1","7.203, 370","11.720, 106","84038","2019-09 [24.0]","2039-10 [1700]","2039-10 [37]","bK07U01W"
"(2013 XA22)","8","22.8","48 - 214","6","6.946, 370","11.979, 234","84022","2020-02 [22.9]","2020-06 [3.e3]","2020-06 [59]","bK13X22A"
